,first_downs_away,first_downs_passing_away,first_down_rushing_away,first_down_by_penalty_away,third_down_away,fourth_down_away,total_plays_away,total_yards_away,total_drives_away,yards_per_play_away,passing_away,comp_att_away,yards_per_pass_away,int_thrown_away,sack_yards_lost_away,rushing_away,rushing_att_away,yards_per_rush_away,red_zone_att_away,penalty_away,turnovers_away,Fumbles lost,int_thrown_away,defensive_td_away,possession_away,first_downs_home,first_downs_passing_home,first_down_rushing_home,first_down_by_penalty_home,third_down_home,fourth_down_home,total_plays_home,total_yards_home,total_drives_home,yards_per_play_home,passing_home,comp_att_home,yards_per_pass_home,int_thrown_home,sack_yards_lost_home,rushing_home,rushing_att_home,yards_per_rush_home,red_zone_att_home,penalty_home,turnovers_home,Fumbles lost,int_thrown_home,defensive_td_home,possession_home,id
0,21,18,3,0,5-13,0-0,69,378,10,5.5,310,24-39,7.8,1,1-7,68,29,2.3,1-3,5-50,1,0,1,0,32:56,14,8,5,1,4-10,0-0,45,239,9,5.3,163,21-25,6.3,0,1-8,76,19,4.0,1-1,10-67,1,1,0,0,27:04,401326494
0,28,14,7,7,3-13,0-0,77,509,15,6.6,366,24-39,8.7,0,3-7,143,35,4.1,2-5,14-110,0,0,0,0,39:02,23,13,6,4,3-13,0-0,68,437,14,6.4,373,32-47,7.8,0,1-2,64,20,3.2,2-3,14-166,0,0,0,1,26:30,401326495
0,21,11,9,1,8-13,1-1,62,361,10,5.8,248,23-28,8.3,2,2-12,113,32,3.5,2-4,4-35,2,0,2,0,34:38,12,7,4,1,5-14,1-3,57,190,11,3.3,146,17-30,4.6,1,2-17,44,25,1.8,1-1,4-24,1,0,1,0,25:22,401326496
0,16,15,1,0,7-13,0-0,59,301,12,5.1,250,24-41,5.7,2,3-13,51,15,3.4,1-1,4-30,3,1,2,0,24:40,25,11,13,1,5-11,1-1,65,370,10,5.7,172,20-25,6.4,1,2-18,198,38,5.2,3-4,3-18,1,0,1,1,35:20,401326497
0,28,11,13,4,2-8,0-0,63,359,13,5.7,217,25-34,6.0,1,2-9,142,27,5.3,4-5,4-44,2,1,1,0,29:59,24,15,8,1,5-11,2-2,67,392,12,5.9,285,27-44,6.1,2,3-21,107,20,5.4,3-3,6-66,5,3,2,0,30:01,401326499
0,10,5,5,0,4-14,2-3,54,198,12,3.7,134,10-31,3.7,3,5-45,64,18,3.6,1-2,7-61,3,0,3,0,22:26,22,11,9,2,6-14,2-2,72,315,11,4.4,204,27-31,6.2,0,2-26,111,39,2.8,3-4,5-35,1,1,0,1,37:34,401326501
0,18,6,11,1,5-11,1-3,62,355,11,5.7,85,11-21,3.7,1,2-8,270,39,6.9,1-2,5-50,4,3,1,0,31:02,23,15,6,2,4-10,0-0,58,394,11,6.8,289,23-32,8.5,0,2-21,105,24,4.4,2-5,4-35,0,0,0,0,28:58,401326502
0,19,8,11,0,4-11,0-2,65,332,10,5.1,124,14-31,3.9,3,1-5,208,33,6.3,1-2,4-26,4,1,3,0,27:58,17,12,4,1,3-12,1-1,58,264,10,4.6,194,19-30,6.3,0,1-8,70,27,2.6,1-3,2-15,0,0,0,0,32:02,401326503
0,21,12,6,3,5-12,0-0,59,332,10,5.6,183,19-29,6.1,1,1-7,149,29,5.1,3-3,5-26,1,0,1,0,30:52,20,13,7,0,9-16,0-2,71,357,10,5.0,216,23-42,5.0,1,1-12,141,28,5.0,1-3,6-43,2,1,1,0,29:08,401326500
0,18,6,10,2,2-13,2-2,62,266,11,4.3,109,14-24,3.9,1,4-36,157,34,4.6,2-4,5-40,1,0,1,0,33:42,13,7,4,2,6-14,1-2,55,202,11,3.7,106,17-26,3.4,1,5-52,96,24,4.0,1-2,4-32,1,0,1,0,26:18,401326498
0,20,15,3,2,7-14,1-2,64,357,9,5.6,285,28-44,6.1,2,3-18,72,17,4.2,2-3,9-75,2,0,2,0,30:23,23,9,11,3,8-11,0-0,59,302,9,5.1,155,15-25,6.0,1,1-0,147,33,4.5,3-3,5-35,1,0,1,1,29:37,401326504
0,15,10,5,0,4-13,0-1,61,353,14,5.8,285,21-39,7.0,1,2-17,68,20,3.4,1-2,4-30,3,2,1,0,20:20,21,14,5,2,7-19,2-2,78,399,13,5.1,307,28-45,6.7,0,1-0,92,32,2.9,3-5,3-32,1,1,0,1,39:40,401326505
0,17,13,3,1,2-8,1-3,52,323,12,6.2,256,21-33,7.5,1,1-6,67,18,3.7,2-3,5-38,2,1,1,1,22:53,23,10,11,2,5-12,0-0,67,423,12,6.3,215,17-26,7.7,1,2-15,208,39,5.3,3-4,5-57,1,0,1,0,37:07,401326506
0,14,10,2,2,4-13,0-1,57,262,12,4.6,222,18-37,5.6,0,3-25,40,17,2.4,0-0,5-45,2,2,0,0,22:56,22,6,12,4,7-15,1-1,77,303,13,3.9,155,20-32,4.6,4,2-10,148,43,3.4,1-2,5-54,4,0,4,0,37:04,401326507
0,10,8,1,1,4-12,0-0,45,267,11,5.9,233,20-31,7.1,0,2-14,34,12,2.8,1-1,6-51,1,1,0,0,18:20,27,13,10,4,5-13,1-2,79,371,12,4.7,219,27-35,6.1,1,1-4,152,43,3.5,2-4,4-38,1,0,1,0,41:40,401326508
0,17,10,5,2,2-13,0-1,65,377,14,5.8,231,26-40,5.6,1,1-7,146,24,6.1,1-2,5-35,1,0,1,1,28:06,17,10,7,0,5-14,1-1,69,405,14,5.9,252,19-41,5.9,4,2-12,153,26,5.9,0-0,7-59,4,0,4,0,31:54,401326509
0,25,22,2,1,8-13,1-1,68,425,10,6.2,368,38-51,7.2,1,0-0,57,17,3.4,3-4,3-15,1,0,1,0,27:14,21,14,5,2,9-17,0-0,69,380,9,5.5,259,30-41,5.6,0,5-38,121,23,5.3,1-3,6-39,1,1,0,1,32:46,401326510
